List of Courses  [CS Department] <V 1.3>,,,,,,,,,,,,,,,,,,,,,,
Code,Course Title,Teacher Name,Credit Hours,Offered for,Category,Time Slots,Pre-Req,Entery in Time Table,CS-Section Count,,,,,,,,,,,,,
,CS-2019,,,,,,,,,,,,,,,,,,,,,
CL117,"Intro. to Info & Comm. Technologies (CS-C, CS-F, CS-H)","Muhammad Waqas Manzoor, Mr",1,BS(CS),CS (Core),8,,8,,,,,,,,,,,,,,
CL117,Intro. to Info & Comm. Technologies (CS-J),"Muhammad Waqas Manzoor, Mr (VF)",1,BS(CS),CS (Core),8,,,,,,,,,,,,,,,,
CL117,"Intro. to Info & Comm. Technologies (CS-A, CS-B, CS-I)","Bismillah Jan, Mr.",1,BS(CS),CS (Core),8,,,,,,,,,,,,,,,,
CL117,Intro. to Info & Comm. Technologies (CS-K),"Bismillah Jan, Mr (VF)",1,BS(CS),CS (Core),8,,,,,,,,,,,,,,,,
CL117,Intro. to Info & Comm. Technologies (CS-G),"Muhammad Salman Mubarik, Mr (VF)",1,BS(CS),CS (Core),8,,,,,,,,,,,,,,,,
CL117,Intro. to Info & Comm. Technologies (CS-D),"Sadia Marium, Ms (PhD Fellow)",1,BS(CS),CS (Core),8,,,,,,,,,,,,,,,,
CL117,Intro. to Info & Comm. Technologies (CS-E),"Aounaiza Ahmed, Ms (VF)",1,BS(CS),CS (Core),8,,,,,,,,,,,,,,,,
CL117,Intro. to Info & Comm. Technologies (CS-L),"Tehreem Akif, Ms (VF)",1,BS(CS),CS (Core),8,,,,,,,,,,,,,,,,
CS118,"Programming Fundamental  (CS-A, CS-F, CS-H)","Farooq Ahmed Rana, Mr",3,BS(CS),CS (Core),8,,,,,,,,,,,,,,,,
CS118,"Programming Fundamental  (CS-C, CS-D)","Sarim Baig, Mr",3,BS(CS),CS (Core),8,,8,,,,,,,,,,,,,,
CS118,"Programming Fundamental  (CS-B, CS-G)","Abeeda Akram, Ms",3,BS(CS),CS (Core),8,,,,,,,,,,,,,,,,
CS118,Programming Fundamental  (CS-E),"Aamir Wali, Mr",3,BS(CS),CS (Core),8,,,,,,,,,,,,,,,,
CS118,Programming Fundamental  (CS-I),"Aounaiza Ahmed, Ms (VF)",3,BS(CS),CS (Core),8,,,,,,,,,,,,,,,,
CS118,Programming Fundamentals,,3,BS(CS),CS (Core),8,,,,,,,,,,,,,,,,
CS118,"Programming Fundamental  (CS-J, CS-K, CS-L)","Raheel Ahmad, Mr (VF)",3,BS(CS),CS (Core),8,,,,,,,,,,,,,,,,
MT119,"Calculus and Analytical Geometry (CS-A, CS-F, CS-B)",Ms. Saeeda Zia (PF),3,BS(CS),MT(Core),8,,,,,,,,,,,,,,,,
MT119,Calculus and Analytical Geometry (CS-H),Dr. Akhlaq Ahmad Bhatti (PF),3,BS(CS),MT(Core),8,,,,,,,,,,,,,,,,
MT119,Calculus and Analytical Geometry (CS-I),Mr.  Muzamil Hanif (VF),3,BS(CS),MT(Core),8,,,,,,,,,,,,,,,,
MT119,Calculus and Analytical Geometry (CS-G),Ms. Saba Jabeen (VF),3,BS(CS),MT(Core),8,,,,,,,,,,,,,,,,
MT119,Calculus and Analytical Geometry (CS-J),Mr.Qasim Noor Hussain (VF),3,BS(CS),MT(Core),8,,,,,,,,,,,,,,,,
MT119,"Calculus and Analytical Geometry (CS-C, CS-D)",Ms. Aisha Rashid (VF),3,BS(CS),MT(Core),8,,,,,,,,,,,,,,,,
MT119,Calculus and Analytical Geometry (CS-K),Dr. Uzma Bashir (VF),3,BS(CS),MT(Core),8,,,,,,,,,,,,,,,,
