TIME TABLE FOR Fall 2019 SEMESTER [CS Department] <V1.3>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Periods,,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,10,20,30,40,50,60,30,No. of Sessions,
Days,Room,7:30 a.m.,,,,8:00 a.m.,,,,,,9:00 a.m.,,,,,,10:00 a.m.,,,,,,11:00 a.m.,,,,,,12:00 noon,,,,,,1:00 p.m.,,,,,,2:00 p.m.,,,,,,3:00 p.m.,,,,,,4:00 p.m.,,,,,,5:00 p.m.,,,,,,6:00 p.m.,,,,,,7:00 p.m.,,,,,,8:00 p.m.,,,,,,7:00 p.m.,,,,,,8:00 p.m.,,,7:00 p.m.,,,,,,8:00 p.m.,Room Wise,
Monday                 ,CS-1,,,,,Applied Programming (MS-DS),,,,,,,,,Data Science Tools and Tech. (MS-DS),,,,,,,,,,,,,,,,,,Design Patterns (MS),,,,,,,,,,,,,,,,,,Statistical Pattern Recog.  (MS),,,,,,,,,Software Project Management (MS-SPM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-2,,,,,Advanced Computer Architecture (MS),,,,,,,,,Linear Algebra (CS-A),,,,,,,,,Linear Algebra (CS-C),,,,,,,,,Computer Architecture (CS-C),,,,,,,,,,,,,,,,,,Computer Architecture (CS-D),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-3,,,,,,,,,,,,,,Database Systems (CS-B),,,,,,,,,Database Systems (CS-A),,,,,,,,,Computer Architecture (CS-F),,,,,,,,,Compiler Construction (CS),,,,,,,,,Database Systems (CS-C),,,,,,,,,Calculus-II (CS-R),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-4,,,,,Computer Networks (CS-A),,,,,,,,,Computer Networks (CS-D),,,,,,,,,Operating Systems (CS-C),,,,,,,,,Operating Systems (CS-B),,,,,,,,,Software Testing (CS),,,,,,,,,Computer Networks (CS-E),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-5,,Probability & Statistics (CS-C),,,,,,,,,,,,Comp. Org. & Assembly Lang. (CS-B),,,,,,,,,Comp. Org. & Assembly Lang. (CS-A),,,,,,,,,Operating Systems (CS-A),,,,,,,,,Psychology (CS),,,,,,,,,Computer Networks (CS-F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-6,,,,,Discrete Structures (CS-E) ,,,,,,,,,,,,,,,,,,Linear Algebra (CS-F),,,,,,,,,Web Programming (CS-B),,,,,,,,,Modern Politics & Government (CS),,,,,,,,,Probability & Statistics (CS-G),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-7,,,,,Digital Logic Design (CS-A) ,,,,,,,,,Human Computer Interaction (CS-E),,,,,,,,,Programming Fundamentals (CS-J),,,,,,,,,International Relations (CS),,,,,,,,,Sociology (CS),,,,,,,,,Probability & Statistics (CS-E),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-8,,,,,Comp. Org. & Assembly Lang. (CS-D),,,,,,,,,Comp. Org. & Assembly Lang. (CS-E),,,,,,,,,Programming Fundamentals (CS-C),,,,,,,,,Applied Physics  (CS-K),,,,,,,,,Programming Fundamentals (CS-D),,,,,,,,,Applied Physics  (CS-D),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
